persona_description;item
I like to garden. I like photography. I love traveling. I like to bake pies.;I like to get lost in thought.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I love to eat.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I often eat too much.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I handle tasks smoothly.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I use flattery to get ahead.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I know the answers to many questions.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I enjoy thinking about things.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I complete tasks successfully.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I get chores done right away.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I remain calm under pressure.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I rarely notice my emotional reactions.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I involve others in what I am doing.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I love to read challenging material.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I cheer people up.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I seldom joke around.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I do just enough work to get by.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I seek danger.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I like to stand during the national anthem.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I am often in a bad mood.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I believe that criminals should receive help rather than punishment.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I boast about my virtues.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I use others for my own ends.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I take charge.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I make friends easily.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I think highly of myself.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I think that all will be well.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I am not highly motivated to succeed.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I am not bothered by disorder.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I plunge into tasks with all my heart.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I seldom get mad.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I make people feel welcome.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I love large parties.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I go on binges.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I stick to my chosen path.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I leave my belongings around.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I know how to cope.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I get upset easily.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I seldom daydream.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I work hard.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I love order and regularity.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I break my promises.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I distrust people.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I like to solve complex problems.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I suspect hidden motives in others.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I believe that I am better than others.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I dislike new foods.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I am always busy.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I have a rich vocabulary.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I put people under pressure.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I often make last-minute plans.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I postpone decisions.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I feel comfortable with myself.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I want everything to be just right.
I like to garden. I like photography. I love traveling. I like to bake pies.;I easily resist temptations.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I get back at others.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I am always prepared.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I am often down in the dumps.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I panic easily.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I wait for others to lead the way.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I am interested in many things.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I fear the worst.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I am passionate about causes.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I start tasks right away.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I feel others’ emotions.
I like to garden. I like photography. I love traveling. I like to bake pies.;I feel sympathy for those who are worse off than myself.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I adapt easily to new situations.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I dislike loud music.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I keep my cool.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I rarely complain.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I like to take it easy.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I do not enjoy going to art museums.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I hate to seem pushy.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I avoid crowds.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I listen to my conscience.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I am concerned about others.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I get stressed out easily.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I rarely get irritated.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I feel that my life lacks direction.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I express childlike joy.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I spend time reflecting on things.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I take advantage of others.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I am not easily annoyed.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I seek adventure.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I have little to say.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I am able to stand up for myself.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I sympathize with the homeless.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I laugh aloud.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I trust others.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I believe in an eye for an eye.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I love surprise parties.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I value cooperation over competition.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I go straight for the goal.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I believe that we should be tough on crime.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I dislike being the center of attention.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I am not easily affected by my emotions.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I am a creature of habit.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I am talk others into doing things.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I like to tidy up.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I have a good word for everyone.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I get others to do my duties.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I contradict others.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I love flowers.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I do the opposite of what is asked.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I tell the truth.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I do things according to a plan.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I can handle a lot of information.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I readily overcome setbacks.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I come up with good solutions.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I consider myself an average person.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I know how to get things done.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I try to understand myself.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I have frequent mood swings.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I choose my words with care.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I get to work at once.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I make people feel uncomfortable.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I enjoy wild flights of fantasy.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I try not to think about the needy.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I often feel uncomfortable around others.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I enjoy being part of a loud crowd.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I am easily intimidated.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I can manage many things at the same time.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I react slowly.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I act without thinking.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I stick to the rules.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I trust what people say.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I make rash decisions.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I would never cheat on my taxes.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I believe in the importance of art.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I have a low opinion of myself.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I often forget to put things back in their proper place.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I believe in one true religion.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I become overwhelmed by events.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I keep in the background.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I let things proceed at their own pace.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I am indifferent to the feelings of others.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I can handle complex problems.	
I like to garden. I like photography. I love traveling. I like to bake pies.;I keep my promises.	
